date_posted,company,job_type,expected_start_date,salary_range,job_description
2025-09-30,Two95 International Inc.,contract,,"$88,366 - $88,366","Job Title: Python Developer Location: New York, NY Duration: 6 months Core Requirements: •Bachelor’s degree in Computer Science or related field preferred •5 years of professional experience •Python expertise fundamentals, programming, pandas and other libraries •Strong SQL and Linux skills •Strong troubleshooting skills •Excellent communication skills Benefits Note : If interested please send your updated resume and include your rate requirement along with your contact details with a suitable …"
2026-01-26,Huntress Talent,,,"$144,589 - $144,589","In our mission to be the most successful investment team in the world, we hire the brightest minds in technology, research, and finance to create innovative solutions that impact the financial markets and take data analysis to new levels. Software Engineers create next generation software solutions to support business areas across the firm. Software Engineers work closely with business leaders to develop and deliver custom software solutions that optimize performance and efficiency. Responsibil…"
2026-01-13,Finoit Inc,,,"$99,066 - $99,066","Python Consultant NYC (Onsite, 5 days/week) Contract: 6 months (possible extension) Rate: $500-600/Day Local candidates only We're looking for a strong full-stack Python/Data Engineer to build scalable data products and AI-driven applications. Tech stack: Python/Django, AWS, PostgreSQL, Angular, Snowflake, dbt, Kubernetes (EKS), Terraform, GitHub Actions, Elasticsearch, SageMaker. What you'll do: Build end-to-end data and application pipelines Develop APIs, data models, and UI components Write …"
2025-09-02,Vibotek LLC,,,"$95,645 - $95,645","We're Hiring: Python Developer Location: Jersey City, NJ Employment Type: Full-Time (W2) Are you a skilled Python Developer ready to take on a dynamic role in the financial tech industry? Looking for experienced developers to join our team in Jersey City, NJ. Youll work on innovative applications used for Independent Price Verification (IPV) within the Global Markets business. Key Responsibilities: Develop object-oriented Python software on the proprietary Quartz platform. Build REST APIs and d…"
2025-11-19,Laboro,,full_time,"$83,296 - $83,296","Description Laboro is seeking a talented MID_SENIOR Python Developer to join our dynamic Information Technology/IT team in New York. As a Python Developer, you will be responsible for developing high-quality software solutions, collaborating with cross-functional teams, and contributing to the innovation and growth of our projects. This is a full-time position that requires on-site work, offering a stimulating environment for professional development and career advancement. Responsibilities: De…"
2024-07-31,skillsoniq,,full_time,"$101,083 - $101,083","Job Responsibilities: Writing reusable, testable, and efficient code Design and implementation of low-latency, high-availability, and performant applications Integration of user-facing elements developed by front-end developers with server side logic Implementation of security and data protection Integration of data storage solutions {{may include databases, key-value stores, blob stores, etc.}} {{Add other responsibilities here that are relevant}} Job Skills: Expert in Python, with knowledge o…"
2026-01-30,Neuberger Berman,,,"$131,461 - $131,461","We're looking for a Full Stack Python Developer to join our Equities Technology team. You'll work alongside experienced engineers to design, develop, and deploy scalable applications that support our equities investment strategies. This is an excellent opportunity to grow across the stack at the intersection of finance and technology. Key Responsibilities Design, develop, and enhance applications that support trading, portfolio management, and analytics for equities investment teams. Build RE…"
2026-01-29,Akaasa Technologies,,,"$148,402 - $148,402","Job Title: Senior Python Developer (LLM & Azure) Location: New York City 4 days onsite (Final round onsite mandatory) Only Local Candidates Job Summary: We are seeking a Senior Python Developer with strong experience in Large Language Models (LLMs) and Azure cloud to design, build, and deploy AI-powered applications and scalable backend systems. The ideal candidate will have deep hands-on expertise in Python development, Azure services, and productionizing GenAI/LLM solutions. Required Skills: …"
2025-09-30,Two95 International Inc.,contract,,"$97,089 - $97,089","Job Title: Python Developer Location: New York, NY/ Chicago, IL Duration: 6 months No Of Openings: 3 Core Requirements: •Bachelor’s degree in Computer Science or related field preferred •5 years of professional experience •Python expertise fundamentals, programming, pandas and other libraries •Strong SQL and Linux skills •Strong troubleshooting skills •Excellent communication skills Note : If interested please send your updated resume and include your rate requirement along with your contact de…"
2025-12-08,28Stone,,full_time,"$109,607 - $109,607","28Stone is a full service custom solutions firm. We offer a wide range of services - from ‘tip of the spear’ advisory, application design, system architecture to implementation, testing and deployment. We partner with the world’s leading financial institutions to design and build robust financial applications that improve their business performance while reducing system risk, cost and time to market. We develop technology of value: we are proud of our proven track record of delivering quality r…"
